,day_original,gurkor_original,guitars_original,slingshots_original,stocks_original,sugar_original,water_original,tranquillity_original,gurkor_interpolated,guitars_interpolated,slingshots_interpolated,stocks_interpolated,sugar_interpolated,water_interpolated,tranquillity_interpolated

0,1.0,6.154652911164151,2.7942854914425928,2.1365356,10.653684,3.324895992344584,3.89614894509908,7.75588048315321,,,,,,,

1,2.0,6.189622529977591,2.843067810895035,2.1135818440911054,10.674465410914877,3.3557356073460447,3.899914957396992,7.78130959949142,6.154652911164151,2.7942854914425928,2.1365356,10.653684,3.324895992344584,3.89614894509908,7.75588048315321

2,3.0,6.16864075868952,2.839644490231707,2.1163362948001723,10.822372466049696,3.3364608479701308,3.897404282531716,7.88620470438652,6.189622529977591,2.843067810895035,2.1135818440911054,10.674465410914877,3.3557356073460447,3.899914957396992,7.78130959949142

3,4.0,6.15640139210484,2.823383717080893,2.0961369896003443,10.848804334576103,3.2882739495303532,3.901170294829632,7.84806102987921,6.16864075868952,2.839644490231707,2.1163362948001723,10.822372466049696,3.3364608479701308,3.897404282531716,7.88620470438652

4,5.0,6.12492873517275,2.832797848905048,2.099809590545768,10.860730557912946,3.303693757031087,3.905354752938428,7.88302606484425,6.15640139210484,2.823383717080893,2.0961369896003443,10.848804334576103,3.2882739495303532,3.901170294829632,7.84806102987921

5,6.0,6.14591050646079,2.865319395206676,2.108991092909325,10.816348407064568,3.303693757031087,3.91079454847986,7.85123966942149,6.12492873517275,2.832797848905048,2.099809590545768,10.860730557912946,3.303693757031087,3.905354752938428,7.88302606484425

6,7.0,6.15290443022349,2.858472753880017,2.0970551398366992,10.96095113624641,3.253579382653719,3.909120765236344,7.84488239033694,6.14591050646079,2.865319395206676,2.108991092909325,10.816348407064568,3.303693757031087,3.91079454847986,7.85123966942149

7,8.0,6.15290443022349,2.8901384700158133,2.0970551398366992,11.195428574287185,3.305621232968677,3.909120765236344,7.75588048315321,6.15290443022349,2.858472753880017,2.0970551398366992,10.96095113624641,3.253579382653719,3.909120765236344,7.84488239033694

8,9.0,6.1598983539861605,2.86703105553834,2.032784623291791,11.095663022616826,3.282491521717583,3.921674139562728,7.75270184361093,6.15290443022349,2.8901384700158133,2.0970551398366992,11.195428574287185,3.305621232968677,3.909120765236344,7.75588048315321

9,10.0,6.18437708715558,2.853337772885022,2.0070764166738284,11.134843217074572,3.282491521717583,3.925858597671524,7.76223776223776,6.1598983539861605,2.86703105553834,2.032784623291791,11.095663022616826,3.282491521717583,3.921674139562728,7.75270184361093

10,11.0,6.236831515375741,2.889282639849981,2.015339768801032,11.262768866115067,3.282491521717583,3.930879947402076,7.7972027972028,6.18437708715558,2.853337772885022,2.0070764166738284,11.134843217074572,3.282491521717583,3.925858597671524,7.76223776223776

11,12.0,6.24032847725706,2.8901384700158133,2.028193872110013,11.02177101335771,3.29791132921831,3.949291563080776,7.81627463445645,6.236831515375741,2.889282639849981,2.015339768801032,11.262768866115067,3.282491521717583,3.930879947402076,7.7972027972028

12,13.0,6.268304172307831,2.8867151493524847,2.006158266437473,10.83123037792192,3.253579382653719,3.96142649159628,7.787666878575969,6.24032847725706,2.8901384700158133,2.028193872110013,11.02177101335771,3.29791132921831,3.949291563080776,7.81627463445645

13,14.0,6.32950100523132,2.8576169237141853,2.0043219659647615,10.760802574104591,3.2555068585913087,3.96351872065068,7.75270184361093,6.268304172307831,2.8867151493524847,2.006158266437473,10.83123037792192,3.253579382653719,3.96142649159628,7.787666878575969

14,15.0,6.29627986735857,2.8439236410608673,2.0355390740008605,10.682140387752934,3.2555068585913087,3.955149804433088,7.739987285441829,6.32950100523132,2.8576169237141853,2.0043219659647615,10.760802574104591,3.2555068585913087,3.96351872065068,7.75270184361093

15,16.0,6.2822920198332,2.859328584045849,2.036457224237215,10.629022848303846,3.268999190154446,3.960171154163644,7.730451366815,6.29627986735857,2.8439236410608673,2.0355390740008605,10.682140387752934,3.2555068585913087,3.955149804433088,7.739987285441829

16,17.0,6.2892859435958695,2.8901384700158133,2.0447205763644174,10.485833932999306,3.267071714216856,3.981930336329376,7.692307692307691,6.2822920198332,2.859328584045849,2.036457224237215,10.629022848303846,3.268999190154446,3.960171154163644,7.730451366815

17,18.0,6.33173331779337,2.909822563829958,2.047475027073486,10.435863473219266,3.257434334528899,4.00452641011688,7.67641449459631,6.2892859435958695,2.8901384700158133,2.0447205763644174,10.485833932999306,3.267071714216856,3.981930336329376,7.692307692307691

18,19.0,6.3246587554271105,2.922660016317444,2.0658380318006024,10.3966027378783,3.268999190154446,3.99657593971016,7.54291163382073,6.33173331779337,2.909822563829958,2.047475027073486,10.435863473219266,3.257434334528899,4.00452641011688,7.67641449459631

19,20.0,6.356494286075249,2.902975922503299,2.0800693604641163,10.297285023834563,3.253579382653719,4.00912931403656,7.52383979656707,6.3246587554271105,2.922660016317444,2.0658380318006024,10.3966027378783,3.268999190154446,3.99657593971016,7.54291163382073

20,21.0,6.37418069199087,2.89185013034748,2.071346933218738,10.395442545750312,3.238159575152992,4.01205843471272,7.53973299427845,6.356494286075249,2.902975922503299,2.0800693604641163,10.297285023834563,3.253579382653719,4.00912931403656,7.52383979656707

21,22.0,6.34234516134276,2.895273451010808,2.0750195341641593,10.20080980583375,3.259286357671778,4.03082585982312,7.51748251748252,6.37418069199087,2.89185013034748,2.071346933218738,10.395442545750312,3.238159575152992,4.01205843471272,7.53973299427845

22,23.0,6.351188364300571,2.914957544824953,2.1044003417275463,10.187168361181651,3.3745233532288252,4.02957469814908,7.47933884297521,6.34234516134276,2.895273451010808,2.0750195341641593,10.20080980583375,3.259286357671778,4.03082585982312,7.51748251748252

23,24.0,6.322890114835559,2.931218317975767,2.1053184919639034,10.14803516734024,3.449427400340908,4.02206772810492,7.50158931977114,6.351188364300571,2.914957544824953,2.1044003417275463,10.187168361181651,3.3745233532288252,4.02957469814908,7.47933884297521

24,25.0,6.30520370891994,2.935497468804927,2.1144999943274607,10.37338959631106,3.4532686335261378,4.03916693764996,7.42848061029879,6.322890114835559,2.931218317975767,2.1053184919639034,10.14803516734024,3.449427400340908,4.02206772810492,7.50158931977114

25,26.0,6.30343506832839,2.9286508274782683,2.1163362948001723,10.16271643215752,3.464792333081849,4.02665532090968,7.43483788938334,6.30520370891994,2.935497468804927,2.1144999943274607,10.37338959631106,3.4532686335261378,4.03916693764996,7.42848061029879

26,27.0,6.246838569398371,2.87730101752833,2.0970551398366992,10.142695328021883,3.489760348785872,4.00830494969064,7.47933884297521,6.30343506832839,2.9286508274782683,2.1163362948001723,10.16271643215752,3.464792333081849,4.02665532090968,7.43483788938334

27,28.0,6.22561488229962,2.922660016317444,2.115738160421946,10.048649572453485,3.499363431748961,4.0141437041694,7.43483788938334,6.246838569398371,2.87730101752833,2.0970551398366992,10.142695328021883,3.489760348785872,4.00830494969064,7.47933884297521

28,29.0,6.269830897088701,2.905543413000795,2.1043460746992353,9.6578287445988,3.466712949674464,4.00913905747332,7.403051493960589,6.22561488229962,2.922660016317444,2.115738160421946,10.048649572453485,3.499363431748961,4.0141437041694,7.43483788938334

29,30.0,6.28751730300432,2.889509336658357,2.0929539889765247,9.609103854643324,3.516648981082517,3.99746154851572,7.41258741258741,6.269830897088701,2.905543413000795,2.1043460746992353,9.6578287445988,3.466712949674464,4.00913905747332,7.403051493960589

30,31.0,6.319352833652431,2.89457272918755,2.098877873552335,9.393909569396437,3.601156111157682,3.992873955710956,7.43165924984107,6.28751730300432,2.889509336658357,2.0929539889765247,9.609103854643324,3.516648981082517,3.99746154851572,7.41258741258741

